Name,BirthDate,DeathDate,DebutDate,LastFilmDate,Movies,Date of Death 2
Amrish Puri,6/22/1932,1/12/2005,,,The Legend of Bhagat Singh ,"Amrish Puri, 12 January 2005"
Anand Abhyankar,6/2/1963,12/24/2012,,,Zapatlela,"Anand Abhyankar, 24 December 2012"
Anand Tiwari,5/29/1983,alive,,,Mankatha ,"Anand Tiwari,alive"
Anant Mahadevan,8/28/1950,alive,,,"Shamitabh, Vivegam, Kadaram Kondan","Anant Mahadevan,alive"
Anant Nag,9/4/1948,alive,,,Henna ,"Anant Nag,alive"
Anang Desai,5/4/1953,alive,,,Phir Hera Pheri ,"Anang Desai,alive"
Angad Bedi,2/6/1983,alive,,,Dil Chahta Hai ,"Angad Bedi,alive"
Anil Kapoor,12/24/1956,alive,,,Jawaani Jaaneman,"Anil Kapoor,alive"
Aniruddh Dave,7/21/1986,alive,,,Victoria & Abdul ,"Aniruddh Dave,alive"
Ankit Mohan,1/20/1988,alive,,,"Student of the Year, Highway, Raazi","Ankit Mohan,alive"
Ankit Gupta,11/6/1988,alive,,,Maine Pyar Kiya ,"Ankit Gupta,alive"
Annu Kapoor,2/20/1956,alive,,,"Pushpak, Nirnayam, Shiva","Annu Kapoor,alive"
Anoop Kumar,1/9/1926,9/20/1997,,,"Mynaa, Iddarammayilatho, Velaiilla Pattadhari 2","Anoop Kumar, 20 September 1997"
Anup Soni,1/30/1975,alive,,,Dhund: The Fog,"Anup Soni,alive"
Anupam Kher,3/7/1955,alive,,,"Kaho Naa... Pyaar Hai, Gadar: Ek Prem Katha, Bhool Bhulaiyaa","Anupam Kher,alive"
Aparshakti Khurana,11/18/1987,alive,,,Kai Po Che!,"Aparshakti Khurana,alive"
Arbaaz Khan,8/4/1967,alive,,,Sholay ,"Arbaaz Khan,alive"
Arif Zakaria,11/11/1966,alive,,,Gol Maal ,"Arif Zakaria,alive"
Arjun Kapoor,6/26/1985,alive,,,Angrej ,"Arjun Kapoor,alive"
Arjun Rampal,11/13/1972,alive,,,Mr.India ,"Arjun Rampal,alive"
Armaan Kohli,7/6/1960,alive,,,"Awara Paagal Deewana, Golmaal Returns, Ek Tho Chance","Armaan Kohli,alive"
Arshad Warsi,4/19/1968,alive,,,"Betaab, Chameli Ki Shaadi, 2 States","Arshad Warsi,alive"
Arun Bali,12/23/1942,10/7/2022,,,"Raazi, Malang, Satyameva Jayate 2","Arun Bali, 7 October 2022"
Arun Govil,1/12/1958,alive,,,"Kavaludaari, Kaalachakra, Bhinna","Arun Govil,alive"
Arunoday Singh,2/17/1983,alive,,,"Madrasapattinam, I, 2.0","Arunoday Singh,alive"
Arya Babbar,5/24/1981,alive,,,"Anegan, Kung Fu Yoga, Raju Gadu","Arya Babbar,alive"
Aryan Vaid,7/4/1976,alive,,,Mee Shivajiraje Bhosale Boltoy ,"Aryan Vaid,alive"
Arvind Trivedi,11/8/1938,10/6/2021,,,Detective Byomkesh Bakshy ,"Arvind Trivedi, 6 October 2021"
Ashish Vidyarthi,6/19/1962,alive,,,Khichdi: The Movie,"Ashish Vidyarthi,alive"
Ashmit Patel,1/13/1978,alive,,,Dil Vil Pyar Vyar,"Ashmit Patel,alive"
Ashok Kumar,10/13/1911,12/10/2001,,,Malgudi Days,"Ashok Kumar, 10 December 2001"
Ashok Saraf,6/4/1947,alive,,,"Student of the Year 2, Pati Patni Aur Woh, Khaali Peeli","Ashok Saraf,alive"
Ashutosh Gowariker,2/15/1964,alive,,,"Udaharanam Sujatha, Thanneer Mathan Dinangal","Ashutosh Gowariker,alive"
Ashutosh Rana,11/10/1967,alive,,,"Brother's Day, Adhyarathri","Ashutosh Rana,alive"
Asif Basra,7/27/1967,11/12/2020,,,Pink,"Asif Basra, 12 November 2020"
Asrani,1/1/1940,alive,,,Mr. India,"Asrani,alive"
Atul Agnihotri,7/8/1970,alive,,,"Batla House, Rang Rasiya","Atul Agnihotri,alive"
Atul Kulkarni,9/10/1965,alive,,,Shorgul,"Atul Kulkarni,alive"
Avinash Wadhawan,11/2/1968,alive,,,"Jagriti, Jhanak Jhanak Payal Baaje","Avinash Wadhawan,alive"
Ayushmann Khurrana,9/14/1984,alive,,,"Kucch To Hai, Krishna Cottage","Ayushmann Khurrana,alive"
Baba Sehgal,11/23/1965,alive,,,"Lava Kusa, Suvarna Sundari","Baba Sehgal,alive"
Baburaj,3/3/1929,10/7/1978,,,"Golmaal Returns, Jai Veeru","Baburaj, 7 October 1978"
Balraj Sahni,5/1/1913,4/13/1973,,,Hello Mini,"Balraj Sahni, 13 April 1973"
Barun Sobti,8/21/1984,alive,,,Jolly LLB 2,"Barun Sobti,alive"
Bhagwan Dada,8/1/1913,2/4/2002,,,Manikarnika: The Queen of Jhansi,"Bhagwan Dada, 4 February 2002"
Bharat Bhushan,6/14/1920,1/27/1992,,,Vicky Donor,"Bharat Bhushan, 27 January 1992"
Bharat Kapoor,10/15/1945,alive,,,Chalti Ka Naam Gaadi,"Bharat Kapoor,alive"
Biswajit Chatterjee,12/14/1936,alive,,,"Aashiqui, King Uncle","Biswajit Chatterjee,alive"
Bobby Deol,1/27/1969,alive,,,"Ramante Edanthottam, Mamangam","Bobby Deol,alive"
Boloram Das,5/5/1985,alive,,,Satya,"Boloram Das,alive"
Boman Irani,12/2/1959,alive,,,Dilwale Dulhania Le Jayenge,"Boman Irani,alive"
Chandrachur Singh,10/11/1968,alive,,,"Premam, Rakshasudu","Chandrachur Singh,alive"
Charuhasan,1/5/1931,alive,,,"Padmaavat, War","Charuhasan,alive"
Chetan Hansraj,6/15/1972,alive,,,"Viruddh..., Mumbai Matinee","Chetan Hansraj,alive"
Chiranjeevi,8/22/1955,alive,,,"Jhansi Ki Rani, Baal Veer","Chiranjeevi,alive"
Chunky Pandey,9/26/1962,alive,,,"Rab Ne Bana Di Jodi, Sultan","Chunky Pandey,alive"
Dalip Tahil,10/30/1952,alive,,,"Baahubali: The Beginning, Arundhati","Dalip Tahil,alive"
Danny Denzongpa,2/25/1948,alive,,,"Qaidi Band, Never Kiss Your Best Friend","Danny Denzongpa,alive"
Dara Singh,11/19/1928,7/12/2012,,,"Soorarai Pottru, 8 Thottakkal","Dara Singh, 12 July 2012"
Darshan Jariwala,9/29/1958,alive,,,"Jolly LLB, Ghajini","Darshan Jariwala,alive"
Darsheel Safary,3/9/1997,alive,,,Stree,"Darsheel Safary,alive"
David Abraham Cheulkar,6/21/1909,1/2/1982,,,Dabangg,"David Abraham Cheulkar, 2 January 1982"
Daya Shankar Pandey,11/19/1965,alive,,,"Andala Ramudu, Nenu","Daya Shankar Pandey,alive"
Dayanand Shetty,12/11/1969,alive,,,"Neelathamara, Mummy & Me","Dayanand Shetty,alive"
Deep Dhillon,1/12/1956,alive,,,"Kuch Kuch Hota Hai, Mohabbatein","Deep Dhillon,alive"
Deepak Dobriyal,9/1/1975,alive,,,My Name Is Khan,"Deepak Dobriyal,alive"
Deepak Parashar,4/2/1952,alive,,,Gunday,"Deepak Parashar,alive"
Deepak Shirke,4/29/1957,alive,,,Rock On!!,"Deepak Shirke,alive"
Deepak Tijori,8/28/1961,alive,,,Jaani Dushman: Ek Anokhi Kahani,"Deepak Tijori,alive"
Dev Anand,9/26/1923,12/3/2011,,,Munnabhai M.B.B.S.,"Dev Anand, 3 December 2011"
Deven Verma,10/23/1937,12/2/2014,,,Aashiqui,"Deven Verma, 2 December 2014"
Dharmendra,12/8/1935,alive,,,Ramayana: The Legend of Prince Rama,"Dharmendra,alive"
Dharmesh Yelande,10/31/1983,alive,,,"Bobby, Beta","Dharmesh Yelande,alive"
Dheer Charan Srivastav,8/9/1967,alive,,,Jism 2,"Dheer Charan Srivastav,alive"
Dheeraj Kumar,10/1/1944,alive,,,Mahabharat,"Dheeraj Kumar,alive"
Dhritiman Chatterjee,5/30/1945,alive,,,Guru,"Dhritiman Chatterjee,alive"
Dilip Dhawan,5/8/1905,2/15/2000,,,Koi... Mil Gaya,"Dilip Dhawan, 15 February 2000"
Dilip Joshi,5/26/1968,alive,,,"Deool, Bhaag Milkha Bhaag","Dilip Joshi,alive"
Dilip Kumar,12/11/1922,7/7/2021,,,"Roberrt, Dream Girl","Dilip Kumar, 7 July 2021"
Dilip Prabhavalkar,8/4/1944,alive,,,"Baarish, Ludo","Dilip Prabhavalkar,alive"
Diljit Dosanjh,1/6/1984,alive,,,"Dil Deke Dekho, Love in Tokyo","Diljit Dosanjh,alive"
Dinesh Hingoo,4/13/1940,alive,,,Baazi,"Dinesh Hingoo,alive"
Dinesh Kaushik,5/27/1957,alive,,,Murder,"Dinesh Kaushik,alive"
Dinesh Phadnis,11/2/1966,alive,,,"Sanju, Manmarziyaan","Dinesh Phadnis,alive"
Dino Morea,12/9/1975,alive,,,Choti Si Baat,"Dino Morea,alive"
Divyendu Sharma,6/19/1983,alive,,,Balache Baap Brahmachari,"Divyendu Sharma,alive"
Diwakar Pundir,11/11/1975,alive,,,Swades,"Diwakar Pundir,alive"
Dulquer Salmaan,7/28/1983,alive,,,Dushman,"Dulquer Salmaan,alive"
Edward Sonnenblick,6/27/1970,alive,,,"Sainik, Henna","Edward Sonnenblick,alive"
Emraan Hashmi,3/24/1979,alive,,,"Golmaal Returns, Omkara","Emraan Hashmi,alive"
Fahmaan Khan,9/4/1990,alive,,,Jab We Met,"Fahmaan Khan,alive"
Faisal Khan,8/3/1966,alive,,,"Ghajini, Ready","Faisal Khan,alive"
Faraaz Khan,5/27/1970,11/4/2020,,,Sholay,"Faraaz Khan, 4 November 2020"
Fardeen Khan,3/8/1974,alive,,,"Hero, Mubarakan","Fardeen Khan,alive"
Farhan Akhtar,1/9/1974,alive,,,"Kadhal Kan Kattuthe, Naadodigal 2","Farhan Akhtar,alive"
Farooq Sheikh,3/25/1948,12/28/2013,,,Sir,"Farooq Sheikh, 28 December 2013"
Firoz Irani,3/13/1945,alive,,,Rang De Basanti,"Firoz Irani,alive"
Gajanan Jagirdar,4/2/1907,8/13/1988,,,Baazigar,"Gajanan Jagirdar, 13 August 1988"
Ganesh Acharya,6/14/1971,alive,,,"Mardaani 2, Ekta Kapoor's web series ""Bulbul""","Ganesh Acharya,alive"
Gavin Packard,6/9/1964,5/18/2012,,,"Dil Dhadakne Do, Veere Di Wedding","Gavin Packard, 18 May 2012"
Ghanashyam Nayak,5/12/1944,10/3/2021,,,"Dor, Wanted","Ghanashyam Nayak, 3 October 2021"
Gippy Grewal,1/2/1983,alive,,,Andhadhun,"Gippy Grewal,alive"
Girish Karnad,5/19/1938,6/10/2019,,,Miss 420 ,"Girish Karnad, 10 June 2019"
Girish Kumar,1/30/1989,alive,,,"Farz, Kismat","Girish Kumar,alive"
Goga Kapoor,12/15/1940,3/3/2011,,,"""Salt N' Pepper"", ""Ayalum Njanum Thammil"", ""Ee Adutha Kaalathu""","Goga Kapoor, 3 March 2011"
Govind Namdev,9/3/1954,alive,,,"""Do Bigha Zamin"", ""Kabuliwala"", ""Garam Coat""","Govind Namdev,alive"
Gufi Paintal,10/4/1944,alive,,,"House Arrest, Mujhse Dosti Karoge!","Gufi Paintal,alive"
Gulshan Grover,9/21/1955,alive,,,"Rangila Baba, Baishi Pahache Kheliba Mina","Gulshan Grover,alive"
Gurmeet Choudhary,2/22/1984,alive,,,"""Main Aur Mr. Riight"", ""22 Yards"", ""Tu Hai Mera Sunday""","Gurmeet Choudhary,alive"
Guru Dutt,7/9/1925,10/10/1964,,,"Pyaar Ka Saaya, Ghar Ho To Aisa","Guru Dutt, 10 October 1964"
Harindranath Chattopadhyay,4/2/1898,6/23/1990,,,"""Albela"", ""Jhoola"", ""Bahar""","Harindranath Chattopadhyay, 23 June 1990"
Harish Patel,7/5/1953,alive,,,"Maine Pyar Kiya, Qaid Main Hai Bulbul","Harish Patel,alive"
Harshad Chopda,5/17/1983,alive,,,"Nivedyam, Swapna Sanchari","Harshad Chopda,alive"
Harman Baweja,11/13/1980,alive,,,"Michael Madana Kama Rajan, Swarnakamalam","Harman Baweja,alive"
Harsh Chhaya,12/2/1966,alive,,,"""Barsaat Ki Raat"", ""Chaudhvin Ka Chand"", ""Kath Putli""","Harsh Chhaya,alive"
Harshvardhan Kapoor,11/9/1990,alive,,,"""Aankhen"", ""Kabhi Haan Kabhi Naa"", ""Yes Boss""","Harshvardhan Kapoor,alive"
Harshvardhan Rane,12/16/1983,alive,,,"Sahodarara Savaal, Jeevana Chaitra","Harshvardhan Rane,alive"
Hemant Birje,8/19/1965,alive,,,"Soojidaara, Arishadvarga","Hemant Birje,alive"
Himansh Kohli,11/3/1989,alive,,,"Gaalipata, Raam","Himansh Kohli,alive"
Himanshu Malik,5/21/1973,alive,,,"Amrutha Varshini, Nee Bareda Kadambari","Himanshu Malik,alive"
Himesh Reshammiya,7/23/1973,alive,,,"Tere Naam, Missamma","Himesh Reshammiya,alive"
Hiten Paintal,12/19/1978,alive,,,"Dum Laga Ke Haisha, Toilet: Ek Prem Katha","Hiten Paintal,alive"
Honey Singh,3/15/1983,alive,,,"Charulata, Kapurush","Honey Singh,alive"
Hrithik Roshan,1/10/1974,alive,,,"Anarkali, Taj Mahal","Hrithik Roshan,alive"
I. S. Johar,2/16/1920,3/10/1984,,,"Kazhugu, Veppam","I. S. Johar, 10 March 1984"
Iftekhar,2/22/1924,3/4/1995,,,"Raaz, Jism","Iftekhar, 4 March 1995"
Imran Khan,10/5/1952,alive,,,"""Bees Saal Baad"", ""Kohra"", ""April Fool""","Imran Khan,alive"
Irrfan Khan,1/7/1967,4/29/2020,,,"""Soldier"", ""Gupt"", ""Barsaat""","Irrfan Khan, 29 April 2020"
Inaamulhaq,11/14/1979,alive,,,"""Village Rockstars"", ""Tasher Desh"", ""Kothanodi""","Inaamulhaq,alive"
Inder Kumar,8/26/1973,7/28/2017,,,"3 Idiots"", ""Munna Bhai M.B.B.S."", ""Lage Raho Munna Bhai""","Inder Kumar, 28 July 2017"
Indraneil Sengupta,9/8/1974,alive,,,"I Hate Luv Storys, Grand Masti","Indraneil Sengupta,alive"
Ishaan Khatter,11/1/1995,alive,,,"Paisa, Madras","Ishaan Khatter,alive"
Jack Gaud,5/11/1905,6/8/2000,,,"No Entry, Golmaal Returns","Jack Gaud, 8 June 2000"
Jackie Shroff,2/1/1957,alive,,,"""Maachis"", ""Tere Mere Sapne"", ""Josh""","Jackie Shroff,alive"
Jackky Bhagnani,12/25/1984,alive,,,"Aatma Gowravam, Adavi Ramudu","Jackky Bhagnani,alive"
Jagdeep,3/29/1939,7/8/2020,,,"Anukokunda Oka Roju, Mangala","Jagdeep, 8 July 2020"
Jamnadas Majethia,2/5/1969,alive,,,"Baal Veer Returns, Karn Sangini","Jamnadas Majethia,alive"
Jassie Gill,11/26/1988,alive,,,"""Hey Ram"", ""Magalir Mattum"", ""Sathya""","Jassie Gill,alive"
Jatin Sarna,11/2/1984,alive,,,"""Krrish"", ""Raaz 3"", ""Jodhaa Akbar""","Jatin Sarna,alive"
Javed Jaffrey,12/4/1963,alive,,,"Ek Chutki Aasman, Tumhari Disha","Javed Jaffrey,alive"
Jay Bhanushali,12/25/1984,alive,,,"""Tagore"", ""Indra"", ""Shankar Dada MBBS""","Jay Bhanushali,alive"
Jay Mehta,1/18/1961,alive,,,"Sthree, Amma","Jay Mehta,alive"
Jeetendra,4/7/1942,alive,,,"Hazaaron Khwaishein Aisi, Inkaar","Jeetendra,alive"
Jim Sarbh,8/27/1987,alive,,,"""Tezaab"", ""Aankhen"", ""Apna Sapna Money Money""","Jim Sarbh,alive"
Jimmy Shergill,12/3/1970,alive,,,"Jai Ho, Race 3","Jimmy Shergill,alive"
Jisshu Sengupta,3/15/1977,alive,,,"""Qayamat Se Qayamat Tak"", ""Baazigar"", ""Ishq""","Jisshu Sengupta,alive"
Jitendra Kumar,9/1/1990,alive,,,"""Deewar"", ""Hum"", ""Ghatak""","Jitendra Kumar,alive"
John Abraham,12/17/1972,alive,,,"""Rustom-E-Baghdad"", ""Jab We Met"", ""Dharam Karam""","John Abraham,alive"
Johnny Lever,8/14/1957,alive,,,"Gandhi, My Father"", ""Lage Raho Munna Bhai"", ""Love Ni Bhavai""","Johnny Lever,alive"
Joy Mukherjee,2/24/1939,3/9/2012,,,"""Taare Zameen Par"", ""Bumm Bumm Bole"", ""Zokkomon""","Joy Mukherjee, 9 March 2012"
Jugal Hansraj,7/26/1972,alive,,,"""Anand"", ""Bombay to Goa"", ""Satte Pe Satta""","Jugal Hansraj,alive"
Kabir Bedi,1/16/1946,alive,,,"""Lagaan"", ""Swades"", ""Ghajini""","Kabir Bedi,alive"
Kader Khan,10/22/1937,12/31/2018,,,"""Johnny Gaddaar"", ""Runway"", ""Kohram: The Explosion""","Kader Khan, 31 December 2018"
Kamaal R. Khan,1/1/1975,alive,,,"Unishe April, Iti Srikanta","Kamaal R. Khan,alive"
Kamal Haasan,11/7/1954,alive,,,"Lekar Hum Deewana Dil, Raju Gadu","Kamal Haasan,alive"
Kamal Kapoor,2/22/1920,8/2/2010,,,"""Dil Apna Punjabi"", ""Mitti Wajaan Maardi"", ""Sadda Haq""","Kamal Kapoor, 2 August 2010"
Kapil Sharma,4/2/1981,alive,,,"Maya Memsaab, Tere Mere Phere","Kapil Sharma,alive"
Karan Grover,6/22/1982,alive,,,"""Tanu Weds Manu"", ""Omkara"", ""Gulaal""","Karan Grover,alive"
Karan Johar,5/25/1972,alive,,,"""The Burning Train"", ""Nikaah"", ""Peechha Karro""","Karan Johar,alive"
Karan Kapoor,1/18/1962,alive,,,"""Ghatak"", ""Tirangaa"", ""Baazi""","Karan Kapoor,alive"
Karan Kundrra,10/11/1984,alive,,,"""Jo Jeeta Wohi Sikandar"", ""Aashiqui"", ""Sadak""","Karan Kundrra,alive"
Karan Patel,11/23/1983,alive,,,"Bajirao Mastani, Piku","Karan Patel,alive"
Karan Singh Grover,2/23/1982,alive,,,"Farz, Indian Babu","Karan Singh Grover,alive"
Karan Wahi,6/9/1986,alive,,,"Chashme Buddoor, Saath Saath","Karan Wahi,alive"
Karanvir Bohra,8/28/1982,alive,,,"""Guide"", ""Jewel Thief"", ""Hare Rama Hare Krishna""","Karanvir Bohra,alive"
Karmveer Choudhary,7/24/1963,alive,,,"Angoor, Chori Mera Kaam ","Karmveer Choudhary,alive"
Kartik Aaryan,11/22/1990,alive,,,"Manthiri Kumari, Pennin Perumai","Kartik Aaryan,alive"
Kay Kay Menon,10/2/1965,alive,,,"Achhut Kanya, Jeevan Naiya","Kay Kay Menon,alive"
Kharaj Mukherjee,7/7/1963,alive,,,"Sholay, Chupke Chupke, Yaadon Ki Baaraat
","Kharaj Mukherjee,alive"
Kiran Kumar,10/20/1953,alive,,,"ABCD: Any Body Can Dance, ABCD 2","Kiran Kumar,alive"
Kishore Kumar,8/4/1929,10/13/1987,,,"Lage Raho Munna Bhai, Munna Bhai M.B.B.S.","Kishore Kumar, 13 October 1987"
K. L. Saigal,4/11/1904,1/18/1947,,,"Koshish, Jaani Dushman","K. L. Saigal, 18 January 1947"
K. N. Singh,9/1/1908,1/31/2000,,,"Shukranu, The Tashkent Files","K. N. Singh, 31 January 2000"
Krishan Dhawan,4/9/1905,5/20/2023,,,"Rehnaa Hai Terre Dil Mein, Sanju","Krishan Dhawan, May 20, 1994"
Kulbhushan Kharbanda,10/21/1944,alive,,,"Ab Bas!, Lorie","Kulbhushan Kharbanda,alive"
Kumar Gaurav,7/11/1956,alive,,,"Cocktail, Happy Bhag Jayegi","Kumar Gaurav,alive"
Kunal Goswami,11/24/1961,alive,,,"FryDay, Jalebi","Kunal Goswami,alive"
Kunal Khemu,5/25/1983,alive,,,"Chashme Buddoor, Khosla Ka Ghosla","Kunal Khemu,alive"
Kushal Punjabi,4/23/1977,12/26/2019,,,"Hum Aapke Hain Koun..!, Phir Bhi Dil Hai Hindustani","Kushal Punjabi, 26 December 2019"
Laxmikant Berde,10/26/1954,12/16/2023,,,"Mughal-e-Azam, Devdas","Laxmikant Berde, December 16, 2004"
M. K. Raina,7/24/1948,alive,,,"Lage Raho Munna Bhai, Shwaas","M. K. Raina,alive"
Madan Puri,9/30/1915,1/13/1985,,,"Udta Punjab, Good Newwz","Madan Puri, 13 January 1985"
Madhukar Toradmal,7/24/1932,7/2/2017,,,"Bobby, Saagar","Madhukar Toradmal, 2 July 2017"
Mahavir Shah,4/5/1960,8/31/2000,,,"Baazigar, Judaai","Mahavir Shah, 31 August 2000"
Mahendra Sandhu,4/18/1947,alive,,,"Mulk, Article 15","Mahendra Sandhu,alive"
Mahesh Anand,8/13/1961,2/9/2019,,,"Sarfarosh, Lagaan","Mahesh Anand, 9 February 2019"
Mahesh Manjrekar,8/16/1958,alive,,,"Raaz, Pyaar Impossible","Mahesh Manjrekar,alive"
Mahipal,11/24/1919,5/15/2005,,,"16 December, Ladies vs Ricky Bahl","Mahipal, 15 May 2005"
Mamik Singh,5/3/1963,alive,,,"Pyaar Ka Dard Hai Meetha Meetha Pyaara Pyaara, Woh Apna Sa","Mamik Singh,alive"
Mammootty,9/7/1951,alive,,,"Deewana, Shola Aur Shabnam, Dil Ka Kya Kasoor","Mammootty,alive"
Manav Gohil,11/9/1974,alive,,,"Bhaag Milkha Bhaag, Veer-Zaara, Delhi-6","Manav Gohil,alive"
Manav Kaul,12/19/1976,alive,,,"Banoo Main Teri Dulhann, Yeh Hai Mohabbatein","Manav Kaul,alive"
Manav Vij,1/2/1977,alive,,,"Pyaar Ka Punchnama, Toilet: Ek Prem Kath","Manav Vij,alive"
Manish Chaudhari,2/16/1969,alive,,,"Hera Pheri, Welcome","Manish Chaudhari,alive"
Manish Malhotra,12/5/1966,alive,,,"Madhubala – Ek Ishq Ek Junoon, Silsila Badalte Rishton Ka","Manish Malhotra,alive"
Manish Paul,8/3/1981,alive,,,"Bangalore Days, OK Kanmani, Charlie","Manish Paul,alive"
Manjot Singh,7/7/1992,alive,,,"Delhi Belly, Ghanchakkar, Kabhi Khushi Kabhie Gham","Manjot Singh,alive"
Manmohan Krishna,2/26/1922,11/3/1990,,,"Anthaka Mundu Aa Tarvatha, Awe, Aravinda Sametha Veera Raghava","Manmohan Krishna, 3 November 1990"
Manohar Singh,4/12/1938,11/14/2002,,,"Ishq Tu Hi Tu, Jaga Hatare Pagha","Manohar Singh, 14 November 2002"
Manoj Bajpayee,4/23/1969,alive,,,"Murder, Once Upon a Time in Mumbaai, Jannat","Manoj Bajpayee,alive"
Manoj Kumar,7/24/1937,alive,,,"Koi Mere Dil Se Poochhe, Dhoom, Yuva","Manoj Kumar,alive"
Manoj Pahwa,12/8/1963,alive,,,"Jannat 2, Raaz 3D, Rustom","Manoj Pahwa,alive"
Manoj Tiger,5/30/1976,alive,,,"Peepli Live, Talaash, Delhi Belly","Manoj Tiger,alive"
Marc Zuber,5/5/1944,5/28/2003,,,"Mela, Chand Bujh Gaya, Stumped","Marc Zuber, 28 May 2003"
Meiyang Chang,10/6/1982,alive,,,"Mehndi, Fareb, Dulhan Banoo Mein Teri","Meiyang Chang,alive"
Milind Gawali,6/16/1966,alive,,,"No Entry, Om Jai Jagadish, Pyaar Tune Kya Kiya","Milind Gawali,alive"
Milind Gunaji,7/23/1961,alive,,,"Dil Chahta Hai, Bhaag Milkha Bhaag, Zindagi Na Milegi Dobara","Milind Gunaji,alive"
Milind Soman,11/4/1965,alive,,,"Dilwale Dulhania Le Jayenge, Kabhi Khushi Kabhie Gham","Milind Soman,alive"
Mithun Chakraborty,6/16/1950,alive,,,"Chashme Buddoor, Umrao Jaan, Yeh Jawaani Hai Deewani","Mithun Chakraborty,alive"
Mohan Agashe,7/23/1947,alive,,,"Dangal, Thugs of Hindostan","Mohan Agashe,alive"
Mohan Gokhale,11/7/1953,4/29/1999,,,"Lagaan, Munna Bhai M.B.B.S., 3 Idiots","Mohan Gokhale, 29 April 1999"
Mohan Kapur,10/27/1965,alive,,,"Slumdog Millionaire, Rise of the Planet of the Apes","Mohan Kapur,alive"
Mohanlal,5/21/1960,alive,,,"Nijam, Simhadri, Ammayi Bagundi","Mohanlal,alive"
Mohan Raman,4/3/1956,alive,,,"Chalti Ka Naam Gaadi, Love in Simla, Dil Deke Dekho","Mohan Raman,alive"
Mohit Raina,8/14/1982,alive,,,"Swades, PK, Bajirao Mastani","Mohit Raina,alive"
Mohnish Bahl,8/14/1961,alive,,,"Rocket Singh: Salesman of the Year, Ishaqzaade, Begum Jaan","Mohnish Bahl,alive"
